transaction_date,bank_id,bank_name,high_value_customers,medium_value_customers,regular_customers,high_value_volume,medium_value_volume,regular_value_volume,avg_high_value,avg_medium_value,avg_regular_value,customer_retention_rate,new_customers
2025-04-15,BNK003,Metro Financial,84,196,282,54867.33,22861.39,13716.83,653.18,116.64,48.64,85.6,36
2025-04-15,BNK004,Regional Trust Bank,57,134,193,46161.62,19234.01,11540.41,809.85,143.54,59.79,85.2,40
2025-04-15,BNK005,Digital Banking Corp,153,357,511,65044.66,27101.94,16261.17,425.13,75.92,31.82,97.1,119
2025-04-15,BNK006,Heritage Bank,48,112,161,24533.12,10222.14,6133.28,511.11,91.27,38.09,95.7,16
2025-04-15,BNK007,Innovation Bank,80,186,268,42944.41,17893.51,10736.1,536.81,96.2,40.06,92.0,51
2025-04-16,BNK001,Premier Bank,95,223,320,69286.6,28869.42,17321.65,729.33,129.46,54.13,91.5,36
2025-04-16,BNK002,Community First Bank,83,194,278,31629.95,13179.15,7907.49,381.08,67.93,28.44,93.9,55
2025-04-16,BNK003,Metro Financial,78,183,262,54533.2,22722.17,13633.3,699.14,124.16,52.04,94.9,51
2025-04-16,BNK004,Regional Trust Bank,90,210,302,45589.33,18995.55,11397.33,506.55,90.46,37.74,86.9,69
2025-04-16,BNK005,Digital Banking Corp,147,344,494,93310.91,38879.54,23327.73,634.77,113.02,47.22,87.2,135
2025-04-16,BNK006,Heritage Bank,38,89,128,23129.19,9637.16,5782.3,608.66,108.28,45.17,93.0,16
2025-04-16,BNK007,Innovation Bank,71,165,238,43562.83,18151.18,10890.71,613.56,110.01,45.76,97.5,48
2025-04-17,BNK001,Premier Bank,91,212,305,57463.94,23943.31,14365.98,631.47,112.94,47.1,85.9,68
2025-04-17,BNK002,Community First Bank,83,195,281,44687.84,18619.93,11171.96,538.41,95.49,39.76,88.3,72
2025-04-17,BNK003,Metro Financial,79,184,264,55517.71,23132.38,13879.43,702.76,125.72,52.57,95.6,77
2025-04-17,BNK004,Regional Trust Bank,56,132,190,44858.9,18691.21,11214.73,801.05,141.6,59.02,91.5,36
2025-04-17,BNK005,Digital Banking Corp,155,361,518,63457.81,26440.76,15864.45,409.41,73.24,30.63,94.8,65
2025-04-17,BNK006,Heritage Bank,37,87,125,24399.49,10166.45,6099.87,659.45,116.86,48.8,92.1,26
2025-04-17,BNK007,Innovation Bank,95,223,321,53200.28,22166.78,13300.07,560.0,99.4,41.43,86.2,58
2025-04-18,BNK001,Premier Bank,97,227,325,66643.54,27768.14,16660.88,687.05,122.33,51.26,96.1,88
2025-04-18,BNK002,Community First Bank,56,132,190,52184.36,21743.48,13046.09,931.86,164.72,68.66,86.3,22
2025-04-18,BNK003,Metro Financial,70,165,238,58327.6,24303.17,14581.9,833.25,147.29,61.27,88.4,65
2025-04-18,BNK004,Regional Trust Bank,79,186,267,48291.29,20121.37,12072.82,611.28,108.18,45.22,86.7,64
2025-04-18,BNK005,Digital Banking Corp,109,255,367,70464.08,29360.03,17616.02,646.46,115.14,48.0,86.3,82
2025-04-18,BNK006,Heritage Bank,40,93,135,27683.42,11534.76,6920.85,692.09,124.03,51.27,89.6,34
2025-04-18,BNK007,Innovation Bank,88,206,295,55357.72,23065.72,13839.43,629.07,111.97,46.91,88.0,67
2025-04-19,BNK001,Premier Bank,43,100,144,31689.19,13203.83,7922.3,736.96,132.04,55.02,88.1,34
2025-04-19,BNK002,Community First Bank,14,32,48,8203.63,3418.18,2050.91,585.97,106.82,42.73,96.4,5
2025-04-19,BNK003,Metro Financial,41,95,138,29016.57,12090.24,7254.14,707.72,127.27,52.57,96.3,29
2025-04-19,BNK004,Regional Trust Bank,38,88,128,24789.53,10328.97,6197.38,652.36,117.37,48.42,86.7,23
2025-04-19,BNK005,Digital Banking Corp,69,161,232,47502.84,19792.85,11875.71,688.45,122.94,51.19,87.1,55
2025-04-19,BNK006,Heritage Bank,38,90,130,16390.31,6829.3,4097.58,431.32,75.88,31.52,94.9,15
2025-04-19,BNK007,Innovation Bank,84,198,284,32910.23,13712.59,8227.56,391.79,69.26,28.97,91.6,74
2025-04-20,BNK001,Premier Bank,49,114,165,21257.57,8857.32,5314.39,433.83,77.7,32.21,97.2,33
2025-04-20,BNK002,Community First Bank,14,33,50,11294.27,4705.95,2823.57,806.73,142.6,56.47,97.4,10
2025-04-20,BNK003,Metro Financial,22,52,76,16571.5,6904.79,4142.87,753.25,132.78,54.51,90.1,20
2025-04-20,BNK004,Regional Trust Bank,19,44,65,10925.38,4552.24,2731.34,575.02,103.46,42.02,91.4,12
2025-04-20,BNK005,Digital Banking Corp,24,57,82,20688.8,8620.33,5172.2,862.03,151.23,63.08,91.4,21
2025-04-20,BNK006,Heritage Bank,8,20,31,8335.76,3473.24,2083.94,1041.97,173.66,67.22,95.8,5
2025-04-20,BNK007,Innovation Bank,25,60,88,12985.7,5410.71,3246.42,519.43,90.18,36.89,89.3,17
2025-04-21,BNK001,Premier Bank,89,209,301,61746.81,25727.84,15436.7,693.78,123.1,51.28,92.4,44
2025-04-21,BNK002,Community First Bank,45,106,152,39969.7,16654.04,9992.43,888.22,157.11,65.74,95.3,29
2025-04-21,BNK003,Metro Financial,102,239,342,56444.33,23518.47,14111.08,553.38,98.4,41.26,89.3,41
2025-04-21,BNK004,Regional Trust Bank,70,163,235,31003.21,12918.0,7750.8,442.9,79.25,32.98,88.1,67
2025-04-21,BNK005,Digital Banking Corp,128,299,429,88348.15,36811.73,22087.04,690.22,123.12,51.48,89.0,57
2025-04-21,BNK006,Heritage Bank,50,117,169,21549.04,8978.77,5387.26,430.98,76.74,31.88,91.0,27
2025-04-21,BNK007,Innovation Bank,123,288,414,55480.24,23116.77,13870.06,451.06,80.27,33.5,85.5,67
2025-04-22,BNK001,Premier Bank,118,277,398,65851.81,27438.26,16462.95,558.07,99.06,41.36,92.1,83
2025-04-22,BNK002,Community First Bank,99,232,332,44107.42,18378.09,11026.85,445.53,79.22,33.21,89.6,62
2025-04-22,BNK003,Metro Financial,84,196,280,52436.79,21848.66,13109.2,624.25,111.47,46.82,97.6,49
2025-04-22,BNK004,Regional Trust Bank,79,185,266,39168.5,16320.21,9792.12,495.8,88.22,36.81,88.4,39
2025-04-22,BNK005,Digital Banking Corp,106,249,358,69203.67,28834.86,17300.92,652.86,115.8,48.33,91.0,89
2025-04-22,BNK006,Heritage Bank,34,80,116,23447.86,9769.94,5861.97,689.64,122.12,50.53,87.7,27
2025-04-22,BNK007,Innovation Bank,85,199,285,61191.57,25496.49,15297.89,719.9,128.12,53.68,85.3,52
2025-04-23,BNK001,Premier Bank,91,213,306,64422.64,26842.77,16105.66,707.94,126.02,52.63,95.1,51
2025-04-23,BNK002,Community First Bank,54,125,181,38332.51,15971.88,9583.13,709.86,127.78,52.95,92.3,25
2025-04-23,BNK003,Metro Financial,97,227,326,53907.41,22461.42,13476.85,555.75,98.95,41.34,94.6,35
2025-04-23,BNK004,Regional Trust Bank,58,137,198,34442.69,14351.12,8610.67,593.84,104.75,43.49,96.1,27
2025-04-23,BNK005,Digital Banking Corp,96,224,322,57824.66,24093.61,14456.17,602.34,107.56,44.89,96.4,54
2025-04-23,BNK006,Heritage Bank,45,107,154,23941.97,9975.82,5985.49,532.04,93.23,38.87,94.4,25
2025-04-23,BNK007,Innovation Bank,87,203,292,41970.19,17487.58,10492.55,482.42,86.15,35.93,96.8,36
2025-04-24,BNK001,Premier Bank,139,326,467,64724.0,26968.33,16181.0,465.64,82.72,34.65,87.3,92
2025-04-24,BNK002,Community First Bank,124,291,417,61034.63,25431.1,15258.66,492.21,87.39,36.59,86.1,57
2025-04-24,BNK003,Metro Financial,113,265,381,52840.0,22016.67,13210.0,467.61,83.08,34.67,97.3,112
2025-04-24,BNK004,Regional Trust Bank,35,82,120,29413.1,12255.46,7353.28,840.37,149.46,61.28,89.9,33
2025-04-24,BNK005,Digital Banking Corp,81,190,272,69273.07,28863.78,17318.27,855.22,151.91,63.67,92.1,41
2025-04-24,BNK006,Heritage Bank,50,117,168,22083.49,9201.45,5520.87,441.67,78.64,32.86,94.1,38
2025-04-24,BNK007,Innovation Bank,116,272,390,57453.24,23938.85,14363.31,495.29,88.01,36.83,97.9,59
2025-04-25,BNK001,Premier Bank,105,246,352,78859.85,32858.27,19714.96,751.05,133.57,56.01,93.7,38
2025-04-25,BNK002,Community First Bank,133,312,447,76412.82,31838.67,19103.2,574.53,102.05,42.74,86.5,44
2025-04-25,BNK003,Metro Financial,118,277,397,59440.88,24767.03,14860.22,503.74,89.41,37.43,98.0,103
2025-04-25,BNK004,Regional Trust Bank,46,109,157,39740.25,16558.44,9935.06,863.92,151.91,63.28,95.2,31
2025-04-25,BNK005,Digital Banking Corp,125,292,420,85246.91,35519.54,21311.73,681.98,121.64,50.74,88.9,54
2025-04-25,BNK006,Heritage Bank,78,184,264,33775.33,14073.05,8443.83,433.02,76.48,31.98,88.7,46
2025-04-25,BNK007,Innovation Bank,82,193,277,63129.1,26303.79,15782.27,769.87,136.29,56.98,94.8,57
2025-04-26,BNK001,Premier Bank,50,116,168,34610.17,14420.9,8652.54,692.2,124.32,51.5,86.0,17
2025-04-26,BNK002,Community First Bank,28,67,97,17989.64,7495.69,4497.41,642.49,111.88,46.37,86.3,17
2025-04-26,BNK003,Metro Financial,61,142,205,33272.67,13863.61,8318.17,545.45,97.63,40.58,97.1,46
2025-04-26,BNK004,Regional Trust Bank,41,97,141,27254.33,11355.97,6813.58,664.74,117.07,48.32,95.4,26
2025-04-26,BNK005,Digital Banking Corp,50,118,171,44249.76,18437.4,11062.44,885.0,156.25,64.69,89.7,20
2025-04-26,BNK006,Heritage Bank,19,46,67,12130.0,5054.16,3032.5,638.42,109.87,45.26,96.4,16
2025-04-26,BNK007,Innovation Bank,57,134,194,31930.18,13304.24,7982.54,560.18,99.29,41.15,87.2,38
2025-04-27,BNK001,Premier Bank,43,100,144,18703.82,7793.26,4675.95,434.97,77.93,32.47,91.3,32
2025-04-27,BNK002,Community First Bank,25,58,85,14967.72,6236.55,3741.93,598.71,107.53,44.02,97.3,18
2025-04-27,BNK003,Metro Financial,20,47,70,15479.53,6449.8,3869.88,773.98,137.23,55.28,92.0,7
2025-04-27,BNK004,Regional Trust Bank,8,19,30,7304.36,3043.48,1826.09,913.04,160.18,60.87,85.8,3
2025-04-27,BNK005,Digital Banking Corp,35,83,120,23937.19,9973.83,5984.3,683.92,120.17,49.87,85.4,29
2025-04-27,BNK006,Heritage Bank,14,34,50,7255.31,3023.05,1813.83,518.24,88.91,36.28,94.4,6
2025-04-27,BNK007,Innovation Bank,20,48,70,10335.48,4306.45,2583.87,516.77,89.72,36.91,95.9,9
2025-04-28,BNK001,Premier Bank,70,164,236,28431.07,11846.28,7107.77,406.16,72.23,30.12,88.9,35
2025-04-28,BNK002,Community First Bank,39,91,132,20928.34,8720.14,5232.09,536.62,95.83,39.64,89.8,19
2025-04-28,BNK003,Metro Financial,50,117,168,26017.28,10840.53,6504.32,520.35,92.65,38.72,91.4,30
2025-04-28,BNK004,Regional Trust Bank,36,86,124,19708.77,8211.99,4927.19,547.47,95.49,39.74,97.8,13
2025-04-28,BNK005,Digital Banking Corp,38,89,129,32222.36,13425.98,8055.59,847.96,150.85,62.45,86.8,14
2025-04-28,BNK006,Heritage Bank,20,48,71,10758.05,4482.52,2689.51,537.9,93.39,37.88,93.1,7
2025-04-28,BNK007,Innovation Bank,32,75,108,24735.73,10306.55,6183.93,772.99,137.42,57.26,95.9,21
2025-04-29,BNK001,Premier Bank,112,261,374,64072.81,26697.01,16018.2,572.08,102.29,42.83,91.9,79
2025-04-29,BNK002,Community First Bank,63,149,214,36553.79,15230.75,9138.45,580.22,102.22,42.7,87.2,29
2025-04-29,BNK003,Metro Financial,83,195,280,58174.86,24239.53,14543.72,700.9,124.31,51.94,89.1,61
2025-04-29,BNK004,Regional Trust Bank,64,151,218,40924.94,17052.06,10231.24,639.45,112.93,46.93,87.7,26
2025-04-29,BNK005,Digital Banking Corp,94,219,314,55104.14,22960.06,13776.04,586.21,104.84,43.87,97.6,32
2025-04-29,BNK006,Heritage Bank,31,74,107,22922.59,9551.08,5730.65,739.44,129.07,53.56,95.4,27
2025-04-29,BNK007,Innovation Bank,102,237,341,48712.78,20296.99,12178.2,477.58,85.64,35.71,88.9,43
2025-04-30,BNK001,Premier Bank,94,220,316,53055.35,22106.4,13263.84,564.42,100.48,41.97,86.9,75
2025-04-30,BNK002,Community First Bank,57,135,194,47669.65,19862.35,11917.41,836.31,147.13,61.43,93.4,49
2025-04-30,BNK003,Metro Financial,91,214,308,56207.09,23419.62,14051.77,617.66,109.44,45.62,97.2,73
2025-04-30,BNK004,Regional Trust Bank,94,221,318,48916.63,20381.93,12229.16,520.39,92.23,38.46,87.0,47
2025-04-30,BNK005,Digital Banking Corp,142,332,476,74571.02,31071.26,18642.75,525.15,93.59,39.17,95.9,67
2025-04-30,BNK006,Heritage Bank,55,128,185,25524.95,10635.4,6381.24,464.09,83.09,34.49,85.9,44
2025-04-30,BNK007,Innovation Bank,111,259,370,64837.97,27015.82,16209.49,584.13,104.31,43.81,90.2,105
2025-05-01,BNK001,Premier Bank,82,192,275,52377.35,21823.9,13094.34,638.75,113.67,47.62,93.5,32
2025-05-01,BNK002,Community First Bank,89,208,299,59778.14,24907.56,14944.53,671.66,119.75,49.98,97.3,45
2025-05-01,BNK003,Metro Financial,81,189,272,60543.61,25226.51,15135.9,747.45,133.47,55.65,89.4,48
2025-05-01,BNK004,Regional Trust Bank,36,86,124,23493.85,9789.1,5873.46,652.61,113.83,47.37,85.7,24
2025-05-01,BNK005,Digital Banking Corp,73,170,245,46452.66,19355.28,11613.17,636.34,113.85,47.4,86.6,43
2025-05-01,BNK006,Heritage Bank,58,136,195,25821.43,10758.93,6455.36,445.2,79.11,33.1,89.6,49
2025-05-01,BNK007,Innovation Bank,61,144,207,50969.38,21237.24,12742.35,835.56,147.48,61.56,95.4,26
2025-05-02,BNK001,Premier Bank,92,216,311,53716.07,22381.69,13429.02,583.87,103.62,43.18,89.8,54
2025-05-02,BNK002,Community First Bank,101,237,340,52937.93,22057.47,13234.48,524.14,93.07,38.92,87.0,88
2025-05-02,BNK003,Metro Financial,111,259,370,60108.56,25045.23,15027.14,541.52,96.7,40.61,94.2,51
2025-05-02,BNK004,Regional Trust Bank,53,123,178,26062.43,10859.35,6515.61,491.74,88.29,36.6,89.8,21
2025-05-02,BNK005,Digital Banking Corp,184,430,617,81487.75,33953.23,20371.94,442.87,78.96,33.02,93.2,76
2025-05-02,BNK006,Heritage Bank,36,85,122,26100.79,10875.33,6525.2,725.02,127.95,53.49,97.8,31
2025-05-02,BNK007,Innovation Bank,109,256,368,63580.69,26491.96,15895.17,583.31,103.48,43.19,90.1,79
2025-05-03,BNK001,Premier Bank,63,148,212,36751.76,15313.24,9187.94,583.36,103.47,43.34,96.8,44
2025-05-03,BNK002,Community First Bank,40,95,138,33206.87,13836.19,8301.72,830.17,145.64,60.16,87.3,23
2025-05-03,BNK003,Metro Financial,66,155,222,31230.08,13012.53,7807.52,473.18,83.95,35.17,96.0,50
2025-05-03,BNK004,Regional Trust Bank,26,61,90,17963.15,7484.65,4490.79,690.89,122.7,49.9,93.5,24
2025-05-03,BNK005,Digital Banking Corp,92,216,311,41588.67,17328.61,10397.17,452.05,80.23,33.43,96.6,87
2025-05-03,BNK006,Heritage Bank,34,79,115,14133.19,5888.83,3533.3,415.68,74.54,30.72,86.2,23
2025-05-03,BNK007,Innovation Bank,52,121,174,27977.45,11657.27,6994.36,538.03,96.34,40.2,94.6,43
2025-05-04,BNK001,Premier Bank,42,98,142,18848.84,7853.68,4712.21,448.78,80.14,33.18,92.9,18
2025-05-04,BNK002,Community First Bank,24,58,84,13494.37,5622.65,3373.59,562.27,96.94,40.16,95.4,20
2025-05-04,BNK003,Metro Financial,23,55,80,16788.42,6995.18,4197.1,729.93,127.19,52.46,86.1,15
2025-05-04,BNK004,Regional Trust Bank,23,54,80,9357.8,3899.08,2339.45,406.86,72.21,29.24,87.3,13
2025-05-04,BNK005,Digital Banking Corp,23,54,79,15876.82,6615.34,3969.21,690.3,122.51,50.24,85.2,14
2025-05-04,BNK006,Heritage Bank,16,38,56,6687.86,2786.61,1671.97,417.99,73.33,29.86,92.1,12
2025-05-04,BNK007,Innovation Bank,22,53,77,15448.23,6436.76,3862.06,702.19,121.45,50.16,93.6,20
2025-05-05,BNK001,Premier Bank,119,278,398,67501.76,28125.73,16875.44,567.24,101.17,42.4,87.8,49
2025-05-05,BNK002,Community First Bank,82,192,275,60053.15,25022.15,15013.29,732.36,130.32,54.59,96.1,36
2025-05-05,BNK003,Metro Financial,62,146,210,56715.25,23631.35,14178.81,914.76,161.86,67.52,97.7,56
2025-05-05,BNK004,Regional Trust Bank,79,185,265,37524.25,15635.1,9381.06,474.99,84.51,35.4,91.5,78
2025-05-05,BNK005,Digital Banking Corp,94,219,315,49205.07,20502.11,12301.27,523.46,93.62,39.05,86.3,50
2025-05-05,BNK006,Heritage Bank,31,72,105,21378.45,8907.69,5344.61,689.63,123.72,50.9,93.3,17
2025-05-05,BNK007,Innovation Bank,75,175,252,44658.73,18607.8,11164.68,595.45,106.33,44.3,97.1,28
2025-05-06,BNK001,Premier Bank,83,194,280,55252.78,23021.99,13813.19,665.7,118.67,49.33,92.1,60
2025-05-06,BNK002,Community First Bank,100,235,337,48255.09,20106.29,12063.77,482.55,85.56,35.8,93.5,50
2025-05-06,BNK003,Metro Financial,64,151,217,49436.21,20598.42,12359.05,772.44,136.41,56.95,89.7,58
2025-05-06,BNK004,Regional Trust Bank,57,134,192,33850.07,14104.2,8462.52,593.86,105.26,44.08,87.5,50
2025-05-06,BNK005,Digital Banking Corp,148,346,495,75935.53,31639.8,18983.88,513.08,91.44,38.35,92.3,124
2025-05-06,BNK006,Heritage Bank,55,130,187,24075.04,10031.27,6018.76,437.73,77.16,32.19,94.3,26
2025-05-06,BNK007,Innovation Bank,65,153,220,43368.52,18070.22,10842.13,667.21,118.11,49.28,92.4,59
2025-05-07,BNK001,Premier Bank,90,210,300,70496.72,29373.63,17624.18,783.3,139.87,58.75,90.6,87
2025-05-07,BNK002,Community First Bank,46,109,157,34308.79,14295.33,8577.2,745.84,131.15,54.63,90.9,20
2025-05-07,BNK003,Metro Financial,87,204,293,51712.46,21546.86,12928.11,594.4,105.62,44.12,90.1,84
2025-05-07,BNK004,Regional Trust Bank,70,165,238,58183.9,24243.29,14545.97,831.2,146.93,61.12,89.2,64
2025-05-07,BNK005,Digital Banking Corp,93,217,310,62434.33,26014.31,15608.58,671.34,119.88,50.35,96.5,52
2025-05-07,BNK006,Heritage Bank,39,92,133,25218.62,10507.76,6304.65,646.63,114.21,47.4,86.1,32
2025-05-07,BNK007,Innovation Bank,69,161,231,48570.12,20237.55,12142.53,703.91,125.7,52.57,89.0,59
2025-05-08,BNK001,Premier Bank,83,194,278,64861.01,27025.42,16215.25,781.46,139.31,58.33,90.8,54
2025-05-08,BNK002,Community First Bank,45,106,154,33457.51,13940.63,8364.38,743.5,131.52,54.31,95.1,26
2025-05-08,BNK003,Metro Financial,98,229,328,50347.55,20978.15,12586.89,513.75,91.61,38.37,90.8,57
2025-05-08,BNK004,Regional Trust Bank,38,90,131,32301.62,13459.01,8075.4,850.04,149.54,61.64,89.8,26
2025-05-08,BNK005,Digital Banking Corp,73,170,244,47772.53,19905.22,11943.13,654.42,117.09,48.95,95.5,41
2025-05-08,BNK006,Heritage Bank,63,148,212,26189.84,10912.43,6547.46,415.71,73.73,30.88,91.8,49
2025-05-08,BNK007,Innovation Bank,82,193,278,42644.94,17768.72,10661.23,520.06,92.07,38.35,88.5,42
2025-05-09,BNK001,Premier Bank,133,310,444,59352.75,24730.31,14838.19,446.26,79.78,33.42,97.1,108
2025-05-09,BNK002,Community First Bank,67,158,228,48100.56,20041.9,12025.14,717.92,126.85,52.74,92.5,51
2025-05-09,BNK003,Metro Financial,156,364,521,67846.67,28269.44,16961.67,434.91,77.66,32.56,85.4,116
2025-05-09,BNK004,Regional Trust Bank,93,218,314,43034.65,17931.1,10758.66,462.74,82.25,34.26,91.6,65
2025-05-09,BNK005,Digital Banking Corp,98,230,331,87458.38,36440.99,21864.6,892.43,158.44,66.06,89.7,38
2025-05-09,BNK006,Heritage Bank,38,90,130,27523.35,11468.06,6880.84,724.3,127.42,52.93,87.5,37
2025-05-09,BNK007,Innovation Bank,79,185,265,46387.78,19328.24,11596.95,587.19,104.48,43.76,90.3,51
2025-05-10,BNK001,Premier Bank,46,107,154,32387.01,13494.59,8096.75,704.07,126.12,52.58,85.7,16
2025-05-10,BNK002,Community First Bank,35,83,121,32615.48,13589.78,8153.87,931.87,163.73,67.39,94.3,24
2025-05-10,BNK003,Metro Financial,70,163,234,40787.62,16994.84,10196.9,582.68,104.26,43.58,91.6,34
2025-05-10,BNK004,Regional Trust Bank,22,53,78,18329.14,7637.14,4582.29,833.14,144.1,58.75,94.7,10
2025-05-10,BNK005,Digital Banking Corp,74,173,248,42878.68,17866.12,10719.67,579.44,103.27,43.22,87.5,47
2025-05-10,BNK006,Heritage Bank,31,73,107,13424.09,5593.37,3356.02,433.04,76.62,31.36,88.7,15
2025-05-10,BNK007,Innovation Bank,40,93,135,20264.61,8443.59,5066.15,506.62,90.79,37.53,93.4,30
2025-05-11,BNK001,Premier Bank,26,62,91,15376.64,6406.94,3844.16,591.41,103.34,42.24,95.7,16
2025-05-11,BNK002,Community First Bank,25,59,86,16701.4,6958.92,4175.35,668.06,117.95,48.55,86.0,13
2025-05-11,BNK003,Metro Financial,20,47,69,17597.65,7332.35,4399.41,879.88,156.01,63.76,97.7,14
2025-05-11,BNK004,Regional Trust Bank,11,26,40,6961.11,2900.46,1740.28,632.83,111.56,43.51,94.2,3
2025-05-11,BNK005,Digital Banking Corp,38,88,128,25150.75,10479.48,6287.69,661.86,119.08,49.12,91.7,13
2025-05-11,BNK006,Heritage Bank,12,30,44,8248.04,3436.68,2062.01,687.34,114.56,46.86,92.4,12
2025-05-11,BNK007,Innovation Bank,39,92,132,20100.09,8375.04,5025.02,515.39,91.03,38.07,97.6,27
2025-05-12,BNK001,Premier Bank,90,211,303,54647.02,22769.59,13661.75,607.19,107.91,45.09,91.0,87
2025-05-12,BNK002,Community First Bank,38,89,129,33468.32,13945.13,8367.08,880.75,156.69,64.86,93.8,14
2025-05-12,BNK003,Metro Financial,75,176,253,55363.85,23068.27,13840.96,738.18,131.07,54.71,91.1,37
2025-05-12,BNK004,Regional Trust Bank,52,122,176,34518.93,14382.89,8629.73,663.83,117.89,49.03,91.1,33
2025-05-12,BNK005,Digital Banking Corp,144,336,480,75950.24,31645.94,18987.56,527.43,94.18,39.56,92.6,82
2025-05-12,BNK006,Heritage Bank,32,75,110,22047.25,9186.35,5511.81,688.98,122.48,50.11,87.1,21
2025-05-12,BNK007,Innovation Bank,54,125,181,51445.46,21435.61,12861.36,952.69,171.48,71.06,95.8,41
2025-05-13,BNK001,Premier Bank,248,579,829,108491.05,45204.6,27122.76,437.46,78.07,32.72,89.4,237
2025-05-13,BNK002,Community First Bank,120,280,401,81493.76,33955.73,20373.44,679.11,121.27,50.81,96.9,56
2025-05-13,BNK003,Metro Financial,123,288,413,79798.06,33249.19,19949.51,648.76,115.45,48.3,85.5,102
2025-05-13,BNK004,Regional Trust Bank,131,307,440,94144.28,39226.78,23536.07,718.66,127.77,53.49,95.8,128
2025-05-13,BNK005,Digital Banking Corp,267,623,892,132133.97,55055.82,33033.49,494.88,88.37,37.03,96.6,196
2025-05-13,BNK006,Heritage Bank,49,114,165,46778.92,19491.22,11694.73,954.67,170.98,70.88,91.9,17
2025-05-13,BNK007,Innovation Bank,83,194,279,68785.04,28660.43,17196.26,828.74,147.73,61.64,88.2,53
2025-05-14,BNK001,Premier Bank,126,294,420,66478.54,27699.39,16619.63,527.61,94.22,39.57,93.2,88
2025-05-14,BNK002,Community First Bank,73,171,245,58018.54,24174.39,14504.63,794.77,141.37,59.2,94.7,38
2025-05-14,BNK003,Metro Financial,85,198,285,44604.93,18585.39,11151.23,524.76,93.87,39.13,92.3,33
2025-05-14,BNK004,Regional Trust Bank,45,105,151,26043.23,10851.34,6510.81,578.74,103.35,43.12,90.4,37
2025-05-14,BNK005,Digital Banking Corp,115,269,386,68669.26,28612.19,17167.31,597.12,106.37,44.47,94.0,114
2025-05-14,BNK006,Heritage Bank,64,149,215,26238.22,10932.59,6559.55,409.97,73.37,30.51,88.6,42
2025-05-14,BNK007,Innovation Bank,52,121,175,42172.38,17571.83,10543.09,811.01,145.22,60.25,89.3,32
2025-05-15,BNK001,Premier Bank,133,311,446,83023.79,34593.25,20755.95,624.24,111.23,46.54,96.1,105
2025-05-15,BNK002,Community First Bank,115,270,388,54216.56,22590.24,13554.14,471.45,83.67,34.93,96.5,54
2025-05-15,BNK003,Metro Financial,104,243,349,57839.57,24099.82,14459.89,556.15,99.18,41.43,96.4,38
2025-05-15,BNK004,Regional Trust Bank,58,137,198,42267.49,17611.45,10566.87,728.75,128.55,53.37,96.6,32
2025-05-15,BNK005,Digital Banking Corp,149,348,499,77349.02,32228.76,19337.26,519.12,92.61,38.75,89.1,100
2025-05-15,BNK006,Heritage Bank,39,93,134,23801.57,9917.32,5950.39,610.3,106.64,44.41,97.2,14
2025-05-15,BNK007,Innovation Bank,63,148,213,46714.34,19464.31,11678.59,741.5,131.52,54.83,89.6,57
2025-05-16,BNK001,Premier Bank,174,406,582,85187.17,35494.65,21296.79,489.58,87.43,36.59,90.1,81
2025-05-16,BNK002,Community First Bank,108,253,364,60286.66,25119.44,15071.66,558.21,99.29,41.41,90.5,64
2025-05-16,BNK003,Metro Financial,99,232,334,53829.43,22428.93,13457.36,543.73,96.68,40.29,96.9,83
2025-05-16,BNK004,Regional Trust Bank,58,135,194,30515.72,12714.88,7628.93,526.13,94.18,39.32,91.6,57
2025-05-16,BNK005,Digital Banking Corp,110,258,370,93925.93,39135.81,23481.48,853.87,151.69,63.46,91.0,41
2025-05-16,BNK006,Heritage Bank,39,92,133,28238.56,11766.07,7059.64,724.07,127.89,53.08,88.4,24
2025-05-16,BNK007,Innovation Bank,105,246,354,57251.33,23854.72,14312.83,545.25,96.97,40.43,87.0,102
2025-05-17,BNK001,Premier Bank,29,68,100,22785.08,9493.78,5696.27,785.69,139.61,56.96,95.0,15
2025-05-17,BNK002,Community First Bank,26,60,88,14454.4,6022.67,3613.6,555.94,100.38,41.06,92.7,21
2025-05-17,BNK003,Metro Financial,36,85,123,16436.21,6848.42,4109.05,456.56,80.57,33.41,97.2,33
2025-05-17,BNK004,Regional Trust Bank,24,57,83,13266.68,5527.78,3316.67,552.78,96.98,39.96,91.7,20
2025-05-17,BNK005,Digital Banking Corp,22,52,76,16937.47,7057.28,4234.37,769.89,135.72,55.72,92.3,15
2025-05-17,BNK006,Heritage Bank,11,26,38,5454.55,2272.73,1363.64,495.87,87.41,35.89,86.5,4
2025-05-17,BNK007,Innovation Bank,30,70,100,17200.66,7166.94,4300.16,573.36,102.38,43.0,91.9,15
2025-05-18,BNK001,Premier Bank,23,54,79,13781.12,5742.14,3445.28,599.18,106.34,43.61,85.3,19
2025-05-18,BNK002,Community First Bank,15,36,53,12071.56,5029.81,3017.89,804.77,139.72,56.94,85.4,11
2025-05-18,BNK003,Metro Financial,24,57,82,17106.74,7127.81,4276.68,712.78,125.05,52.15,92.0,23
2025-05-18,BNK004,Regional Trust Bank,19,45,66,10703.77,4459.9,2675.94,563.36,99.11,40.54,91.3,7
2025-05-18,BNK005,Digital Banking Corp,27,64,94,20514.83,8547.84,5128.71,759.81,133.56,54.56,92.2,24
2025-05-18,BNK006,Heritage Bank,9,22,32,8027.02,3344.59,2006.75,891.89,152.03,62.71,98.0,5
